Rank,RO,ST,Locid,City,Airport Name,SL,Hub,CY 06 Boardings,CY 05 Boardings,% Change
280.0,SW,TX,BPT,Beaumont/Port Arthur,Southeast Texas Regional,P,N,38626.0,46253.0,-0.1649
281.0,AL,AK,AKN,King Salmon,King Salmon,P,N,38220.0,40160.0,-0.0483
282.0,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,38144.0,65142.0,-0.4144
283.0,NM,MT,BTM,Butte,Bert Mooney,P,N,37635.0,42751.0,-0.1197
284.0,EA,WV,HTS,Huntington,Tri-State/Milton J. Ferguson Field,P,N,37459.0,50289.0,-0.2551
285.0,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,36355.0,17735.0,1.0499
286.0,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,36348.0,34549.0,0.0521
287.0,GL,MI,MKG,Muskegon,Muskegon County,P,N,35937.0,37975.0,-0.0537
288.0,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,35749.0,36083.0,-0.0093
290.0,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,34712.0,38527.0,-0.099
291.0,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,34458.0,38411.0,-0.1029
292.0,WP,NV,EKO,Elko,Elko Regional,P,N,34158.0,75618.0,-0.5483
293.0,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,33211.0,40140.0,-0.1726
294.0,CE,IA,SUX,Sioux City,Sioux Gateway/Col. Bud Day Field,P,N,33195.0,41738.0,-0.2047
295.0,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,33081.0,38191.0,-0.1338
296.0,NM,CO,FNL,Fort Collins/Loveland,Fort Collins-Loveland Municipal,P,N,32847.0,34669.0,-0.0526
299.0,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,32021.0,30318.0,0.0562
300.0,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,31418.0,23016.0,0.3651
301.0,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,30444.0,25954.0,0.173
303.0,AL,AK,DUT,Unalaska,Unalaska,P,N,29260.0,30561.0,-0.0426
304.0,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,29046.0,33629.0,-0.1363
305.0,NM,WY,COD,Cody,Yellowstone Regional,P,N,28559.0,28483.0,0.0027
306.0,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,28410.0,24793.0,0.1459
307.0,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,28323.0,29010.0,-0.0237
308.0,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,27232.0,27729.0,-0.0179
309.0,SW,NM,FMN,Farmington,Four Corners Regional,P,N,26929.0,29226.0,-0.0786
310.0,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,26762.0,29449.0,-0.0912
311.0,SO,KY,PAH,Paducah,Barkley Regional,P,N,26742.0,33981.0,-0.213
312.0,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,26725.0,37269.0,-0.2829
313.0,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,26705.0,30818.0,-0.1335
314.0,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,26561.0,28924.0,-0.0817
315.0,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,26065.0,7312.0,2.5647
316.0,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,26057.0,29699.0,-0.1226
317.0,AL,AK,ANI,Aniak,Aniak,P,N,26041.0,23116.0,0.1265
319.0,SO,FL,APF,Naples,Naples Municipal,P,N,25379.0,32898.0,-0.2286
320.0,SW,TX,GGG,Longview,East Texas Regional,P,N,25353.0,23437.0,0.0818
321.0,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,25094.0,24556.0,0.0219
322.0,SO,PR,VQS,Isla De Vieques,Antonio Rivera Rodriguez,P,N,24177.0,24112.0,0.0027
323.0,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,23838.0,22874.0,0.0421
324.0,WP,CA,OXR,Oxnard,Oxnard,P,N,23731.0,22783.0,0.0416
325.0,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,23317.0,21172.0,0.1013
326.0,SO,NC,ISO,Kinston,Kinston Regional Jetport at Stallings Field,P,N,23166.0,24726.0,-0.0631
327.0,WP,CA,CIC,Chico,Chico Municipal,P,N,22934.0,17811.0,0.2876
328.0,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,22823.0,25694.0,-0.1117
329.0,AL,AK,SCC,Deadhorse,Deadhorse,P,N,21961.0,13703.0,0.6026
330.0,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,21876.0,15015.0,0.4569
331.0,WP,AZ,PGA,Page,Page Municipal,P,N,21810.0,26594.0,-0.1799
334.0,SO,MS,MEI,Meridian,Key Field,P,N,21479.0,26605.0,-0.1927
336.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,19898.0,19657.0,0.0123
337.0,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,19206.0,20718.0,-0.073
338.0,AL,AK,LHD,Anchorage,Lake Hood,P,N,18540.0,13727.0,0.3506
339.0,GL,MN,INL,International Falls,Falls International,P,N,18475.0,21861.0,-0.1549
340.0,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,18435.0,14662.0,0.2573
341.0,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,18106.0,16305.0,0.1105
342.0,CE,KS,FOE,Topeka,Forbes Field,P,N,17924.0,7530.0,1.3803
344.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,17442.0,19590.0,-0.1096
345.0,SW,TX,DRT,Del Rio,Del Rio International,P,N,16967.0,11094.0,0.5294
346.0,GL,SD,PIR,Pierre,Pierre Regional,P,N,16731.0,16138.0,0.0367
347.0,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,16529.0,16479.0,0.003
348.0,NM,CO,TEX,Telluride,Telluride Regional,P,N,16438.0,18134.0,-0.0935
349.0,NM,WA,CLM,Port Angeles,William R Fairchild International,P,N,15866.0,19347.0,-0.1799
350.0,CE,MO,COU,Columbia,Columbia Regional,P,N,15809.0,22005.0,-0.2816
351.0,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,P,N,15469.0,15127.0,0.0226
352.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,15457.0,15522.0,-0.0042
353.0,EA,NJ,TEB,Teterboro,Teterboro,P,N,15377.0,8127.0,0.8921
354.0,NE,MA,EWB,New Bedford,New Bedford Regional,P,N,15211.0,17960.0,-0.1531
355.0,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,14969.0,15140.0,-0.0113
356.0,SO,MS,UTA,Tunica,Tunica Municipal,P,N,14897.0,23.0,646.6957
357.0,NE,MA,ORH,Worcester,Worcester Regional,P,N,14823.0,2036.0,6.2805
358.0,GL,IL,DEC,Decatur,Decatur,P,N,14680.0,11686.0,0.2562
359.0,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,14560.0,13887.0,0.0485
360.0,NM,WY,RIW,Riverton,Riverton Regional,P,N,14184.0,12236.0,0.1592
362.0,GL,MI,CVX,Charlevoix,Charlevoix Municipal,P,N,14133.0,14549.0,-0.0286
363.0,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,14131.0,15406.0,-0.0828
364.0,NE,ME,RKD,Rockland,Knox County Regional,P,N,13936.0,13217.0,0.0544
365.0,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,13884.0,1064.0,12.0489
366.0,AL,AK,KSM,St Mary's,St Mary's,P,N,13744.0,8262.0,0.6635
367.0,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,13711.0,11753.0,0.1666
368.0,NM,WY,SHR,Sheridan,Sheridan County,P,N,13654.0,13760.0,-0.0077
369.0,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,13626.0,15550.0,-0.1237
370.0,WP,CA,IYK,Inyokern,Inyokern,P,N,13509.0,13138.0,0.0282
372.0,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,13303.0,16954.0,-0.2153
373.0,GL,OH,YNG,Youngstown/Warren,Youngstown-Warren Regional,P,N,12479.0,6934.0,0.7997
374.0,GL,IL,MWA,Marion,Williamson County Regional,P,N,12162.0,12373.0,-0.0171
375.0,NE,NH,LEB,Lebanon,Lebanon Municipal,P,N,12143.0,11367.0,0.0683
376.0,CE,IA,MCW,Mason City,Mason City Municipal,P,N,12142.0,13127.0,-0.075
377.0,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,12009.0,11632.0,0.0324
379.0,CE,KS,GCK,Garden City,Garden City Regional,P,N,11603.0,10107.0,0.148
380.0,AL,AK,YAK,Yakutat,Yakutat,P,N,11586.0,11989.0,-0.0336
381.0,CE,MO,JLN,Joplin,Joplin Regional,P,N,11498.0,10056.0,0.1434
382.0,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,11375.0,10236.0,0.1113
383.0,AL,AK,UNK,Unalakleet,Unalakleet,P,N,11261.0,10224.0,0.1014
384.0,AL,AK,GST,Gustavus,Gustavus,P,N,10959.0,11579.0,-0.0535
385.0,AL,AK,MRI,Anchorage,Merrill Field,P,N,10820.0,17745.0,-0.3903
386.0,AL,AK,GAL,Galena,Edward G. Pitka Sr,P,N,10770.0,11261.0,-0.0436
388.0,AL,AK,ENM,Emmonak,Emmonak,P,N,10648.0,11271.0,-0.0553
389.0,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,P,N,10629.0,12674.0,-0.1614
390.0,AL,AK,MBA,Manokotak,Manokotak,P,N,10620.0,5194.0,1.0447
391.0,AL,AK,WRG,Wrangell,Wrangell,P,N,10580.0,10740.0,-0.0149
393.0,WP,CA,IPL,Imperial,Imperial County,P,N,10458.0,5977.0,0.7497
394.0,NM,WY,LAR,Laramie,Laramie Regional,P,N,10407.0,10065.0,0.034
396.0,CE,KS,HYS,Hays,Hays Regional,P,N,10274.0,7933.0,0.2951
397.0,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,P,N,10256.0,10057.0,0.0198
398.0,GL,MN,HIB,Hibbing,Chisholm-Hibbing,P,N,10197.0,10619.0,-0.0397
399.0,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B. Heilig Field,P,N,10068.0,10235.0,-0.0163
400.0,EA,NJ,TTN,Trenton,Trenton Mercer,P,N,10048.0,9255.0,0.0857
401.0,GL,MI,ESC,Escanaba,Delta County,P,N,10019.0,11361.0,-0.1181
,,,,Non Hubs,,,,21549284.0,,244.0
402.0,SW,NM,SAF,Santa Fe,Santa Fe Municipal,CS,None,9861.0,10522.0,-0.0628
403.0,AL,AK,SOV,Seldovia,Seldovia,CS,None,9637.0,9292.0,0.0371
404.0,SW,NM,ROW,Roswell,Roswell International Air Center,CS,None,9298.0,9570.0,-0.0284
405.0,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,CS,None,9256.0,12778.0,-0.2756
406.0,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,9252.0,8205.0,0.1276
407.0,AL,AK,ILI,Iliamna,Iliamna,CS,None,9207.0,7947.0,0.1586
408.0,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,9153.0,8661.0,0.0568
409.0,SW,TX,VCT,Victoria,Victoria Regional,CS,None,9113.0,10932.0,-0.1664
410.0,AL,AK,SGY,Skagway,Skagway,CS,None,9038.0,9385.0,-0.037
411.0,CE,NE,EAR,Kearney,Kearney Regional,CS,None,8936.0,6789.0,0.3162
412.0,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,8929.0,8964.0,-0.0039
413.0,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,CS,None,8839.0,7749.0,0.1407
414.0,SO,MS,GLH,Greenville,Mid Delta Regional,CS,None,8796.0,10364.0,-0.1513
415.0,AL,AK,HNH,Hoonah,Hoonah,CS,None,8615.0,9499.0,-0.0931
416.0,EA,PA,DUJ,Brookville,Du Bois-Jefferson County,CS,None,8578.0,10275.0,-0.1652
417.0,EA,DE,ILG,Wilmington,New Castle,CS,None,8554.0,1084.0,6.8911
418.0,CE,NE,GRI,Grand Island,Central Nebraska Regional,CS,None,8505.0,7617.0,0.1166
420.0,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,None,8326.0,9483.0,-0.122
421.0,NM,UT,CDC,Cedar City,Cedar City Regional,CS,None,8312.0,10412.0,-0.2017
422.0,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,8196.0,7019.0,0.1677
423.0,NE,RI,WST,Westerly,Westerly State,CS,None,8177.0,9.0,907.5556
426.0,GL,MI,APN,Alpena,Alpena County Regional,CS,None,7977.0,10302.0,-0.2257
427.0,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,7967.0,6723.0,0.185
428.0,WP,CA,MCE,Merced,Merced Municipal/MacReady Field,CS,None,7885.0,8616.0,-0.0848
430.0,GL,MI,IMT,Iron Mountain,Ford,CS,None,7859.0,9130.0,-0.1392
431.0,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville Regional Airport at Forney Field,CS,None,7690.0,8216.0,-0.064
432.0,NE,RI,BID,Block Island,Block Island State,CS,None,7595.0,257.0,28.5525
433.0,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,7446.0,6977.0,0.0672
434.0,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7248.0,7249.0,-0.0001
435.0,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,7194.0,5443.0,0.3217
436.0,AL,AK,HNS,Haines,Haines,CS,None,7071.0,8054.0,-0.1221
438.0,EA,PA,LNS,Lancaster,Lancaster,CS,None,7031.0,6101.0,0.1524
439.0,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,6911.0,8229.0,-0.1602
440.0,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,6884.0,5390.0,0.2772
442.0,SO,GA,AHN,Athens,Athens/Ben Epps,CS,None,6738.0,7680.0,-0.1227
443.0,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,6538.0,13773.0,-0.5253
444.0,AL,AK,WLK,Selawik,Selawik,CS,None,6504.0,5842.0,0.1133
445.0,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,6482.0,6157.0,0.0528
446.0,GL,ND,ISN,Williston,Sloulin Field International,CS,None,6455.0,5569.0,0.1591
447.0,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,6392.0,6859.0,-0.0681
448.0,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,6337.0,5166.0,0.2267
449.0,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,6327.0,6380.0,-0.0083
451.0,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,6286.0,4860.0,0.2934
452.0,GL,SD,ATY,Watertown,Watertown Regional,CS,None,6212.0,9161.0,-0.3219
453.0,WP,AZ,HII,Lake Havasu City,Lake Havasu City,CS,None,6082.0,8174.0,-0.2559
454.0,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,5933.0,6018.0,-0.0141
455.0,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,5893.0,6100.0,-0.0339
456.0,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,CS,None,5877.0,5063.0,0.1608
458.0,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,CS,None,5604.0,5010.0,0.1186
459.0,AL,AK,WTK,Noatak,Noatak,CS,None,5604.0,4859.0,0.1533
460.0,EA,WV,CKB,Clarksburg,North Central West Virginia,CS,None,5477.0,9701.0,-0.4354
462.0,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,CS,None,5375.0,5307.0,0.0128
463.0,AL,AK,BVK,Buckland,Buckland,CS,None,5192.0,4117.0,0.2611
464.0,WP,CA,VIS,Visalia,Visalia Municipal,CS,None,5141.0,4008.0,0.2827
465.0,NE,ME,AUG,Augusta,Augusta State,CS,None,5049.0,5225.0,-0.0337
466.0,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,5040.0,4395.0,0.1468
467.0,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,5013.0,5599.0,-0.1047
468.0,AL,AK,MCG,McGrath,McGrath,CS,None,5006.0,5141.0,-0.0263
469.0,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,5000.0,3740.0,0.3369
470.0,NM,WA,MWH,Moses Lake,Grant County International,CS,None,4966.0,4822.0,0.0299
471.0,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,4955.0,4033.0,0.2286
472.0,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,None,4942.0,3867.0,0.278
473.0,AL,AK,PHO,Point Hope,Point Hope,CS,None,4900.0,4580.0,0.0699
474.0,AL,AK,AQT,Nuiqsut,Nuiqsut,CS,None,4882.0,3954.0,0.2347
475.0,AL,AK,KLG,Kalskag,Kalskag,CS,None,4852.0,4105.0,0.182
476.0,AL,AK,VAK,Chevak,Chevak,CS,None,4791.0,5021.0,-0.0458
478.0,NM,MT,SDY,Sidney,Sidney-Richland Municipal,CS,None,4771.0,13479.0,-0.646
479.0,SO,NC,SOP,Pinehurst/Southern Pines,Moore County,CS,None,4761.0,833.0,4.7155
480.0,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L. Bill Hart Field,CS,None,4734.0,11038.0,-0.5711
481.0,SW,AR,HRO,Harrison,Boone County,CS,None,4711.0,3853.0,0.2227
482.0,SO,KY,OWB,Owensboro,Owensboro-Daviess County,CS,None,4680.0,3611.0,0.296
483.0,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,4583.0,4952.0,-0.0745
484.0,WP,NV,ELY,Ely,Ely /Yelland Field/,CS,None,4565.0,3618.0,0.2617
485.0,AL,AK,SVA,Savoonga,Savoonga,CS,None,4400.0,4637.0,-0.0511
486.0,WP,HI,HNM,Hana,Hana,CS,None,4390.0,3898.0,0.1262
487.0,AL,AK,AWI,Wainwright,Wainwright,CS,None,4324.0,4049.0,0.0679
488.0,AL,AK,GAM,Gambell,Gambell,CS,None,4310.0,4360.0,-0.0115
490.0,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,4218.0,3502.0,0.2045
492.0,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,None,4180.0,7086.0,-0.4101
493.0,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4131.0,4149.0,-0.0043
494.0,AL,AK,SDP,Sand Point,Sand Point,CS,None,4117.0,4090.0,0.0066
495.0,AL,AK,KVL,Kivalina,Kivalina,CS,None,4033.0,3821.0,0.0555
496.0,NM,MT,WYS,West Yellowstone,Yellowstone,CS,None,4031.0,4372.0,-0.078
498.0,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,4008.0,3636.0,0.1023
499.0,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,3929.0,4273.0,-0.0805
500.0,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,3881.0,3366.0,0.153
501.0,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3859.0,3708.0,0.0407
503.0,WP,AZ,PRC,Prescott,Ernest A. Love Field,CS,None,3780.0,5020.0,-0.247
504.0,AL,AK,ELI,Elim,Elim,CS,None,3772.0,3023.0,0.2478
505.0,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,CS,None,3766.0,3236.0,0.1638
506.0,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,3754.0,7463.0,-0.497
509.0,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3693.0,3582.0,0.031
510.0,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,3687.0,3684.0,0.0008
512.0,EA,NY,ART,Watertown,Watertown International,CS,None,3672.0,4612.0,-0.2038
513.0,AL,AK,2A9,Kotlik,Kotlik,CS,None,3654.0,4030.0,-0.0933
514.0,EA,PA,BFD,Bradford,Bradford Regional,CS,None,3643.0,5379.0,-0.3227
515.0,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,3592.0,3433.0,0.0463
516.0,NM,UT,CNY,Moab,Canyonlands Field,CS,None,3586.0,3078.0,0.165
517.0,AL,AK,CFK,Chefornak,Chefornak,CS,None,3570.0,3519.0,0.0145
518.0,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,3518.0,3109.0,0.1316
519.0,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,None,3501.0,2703.0,0.2952
521.0,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3444.0,3289.0,0.0471
522.0,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,3392.0,4611.0,-0.2644
523.0,AL,AK,PGM,Port Graham,Port Graham,CS,None,3363.0,3047.0,0.1037
524.0,AL,AK,KEB,English Bay,Nanwalek,CS,None,3358.0,2943.0,0.141
525.0,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,3347.0,3327.0,0.006
526.0,AL,AK,HLA,Huslia,Huslia,CS,None,3337.0,3072.0,0.0863
527.0,AL,AK,NUL,Nulato,Nulato,CS,None,3335.0,3359.0,-0.0071
528.0,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,3318.0,3291.0,0.0082
529.0,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,3313.0,3325.0,-0.0036
532.0,AL,AK,EEK,Eek,Eek,CS,None,3241.0,3083.0,0.0512
533.0,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,3233.0,3079.0,0.05
535.0,AL,AK,KTS,Brevig Mission,Brevig Mission,CS,None,3152.0,2449.0,0.2871
536.0,NM,WA,ORS,Eastsound,Orcas Island,CS,None,3122.0,2934.0,0.0641
537.0,AL,AK,TOG,Togiak Village,Togiak,CS,None,3119.0,2137.0,0.4595
540.0,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,2946.0,3218.0,-0.0845
541.0,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,CS,None,2929.0,3064.0,-0.0441
542.0,AL,AK,SMK,St Michael,St Michael,CS,None,2927.0,2304.0,0.2704
543.0,CE,KS,SLN,Salina,Salina Municipal,CS,None,2877.0,2805.0,0.0257
544.0,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,None,2876.0,2574.0,0.1173
545.0,AL,AK,N93,Golovin,Golovin,CS,None,2868.0,2242.0,0.2792
546.0,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,2835.0,2682.0,0.057
547.0,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,2821.0,2777.0,0.0158
548.0,AL,AK,WMO,White Mountain,White Mountain,CS,None,2821.0,2123.0,0.3288
549.0,GL,MI,MBL,Manistee,Manistee County-Blacker,CS,None,2799.0,2435.0,0.1495
551.0,AL,AK,KVC,King Cove,King Cove,CS,None,2783.0,2949.0,-0.0563
552.0,AL,AK,KAE,Kake,Kake,CS,None,2743.0,2270.0,0.2084
553.0,NM,UT,BCE,Bryce Canyon,Bryce Canyon,CS,None,2740.0,2856.0,-0.0406
554.0,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2727.0,2708.0,0.007
555.0,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,2699.0,2581.0,0.0457
556.0,GL,OH,LCK,Columbus,Rickenbacker International,CS,None,2670.0,34948.0,-0.9236
558.0,AL,AK,SHG,Shungnak,Shungnak,CS,None,2643.0,2015.0,0.3117
559.0,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2636.0,2749.0,-0.0411
560.0,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,2620.0,2266.0,0.1562
561.0,NM,WY,WRL,Worland,Worland Municipal,CS,None,2616.0,1947.0,0.3436
562.0,AL,AK,KAL,Kaltag,Kaltag,CS,None,2601.0,2452.0,0.0608
563.0,AL,AK,TER,Teller,Teller,CS,None,2548.0,1644.0,0.5499
565.0,AL,AK,CGA,Craig,Craig,CS,None,2517.0,3088.0,-0.1849
566.0,AL,AK,DEE,Deering,Deering,CS,None,2517.0,1828.0,0.3769
,,,,Non Primary ,,,,716818.0,,139.0
,,,,Commercial Service Airports ,,,,,,522.0
