Rank,ST,Locid,City,Airport Name,Hub,CY 2004 Boardings,CY 2003 Boardings,% Change
320.0,CA,OXR,Oxnard,Oxnard,N,23832.0,21975.0,0.0845
321.0,TX,GGG,Longview,East Texas Regional,N,23795.0,28986.0,-0.1791
322.0,WA,FHR,Friday Harbor,Friday Harbor,N,23329.0,16497.0,0.4141
323.0,AZ,PGA,Page,Page Municipal,N,22321.0,14929.0,0.4951
324.0,NH,PSM,Portsmouth,Pease International Tradeport,N,22279.0,27096.0,-0.1778
325.0,MN,STC,St. Cloud,St. Cloud Regional,N,21720.0,20024.0,0.0847
327.0,MN,INL,International Falls,Falls International,N,21122.0,19566.0,0.0795
328.0,MS,TUP,Tupelo,Tupelo Regional,N,21107.0,20143.0,0.0479
329.0,WA,PUW,Pullman,Pullman/Moscow Regional,N,20980.0,24569.0,-0.1461
330.0,AK,ANI,Aniak,Aniak,N,20660.0,18065.0,0.1436
331.0,MO,COU,Columbia,Columbia Regional,N,20268.0,22548.0,-0.1011
333.0,CA,MOD,Modesto,Modesto City County-Harry Sham Field,N,19798.0,14594.0,0.3566
335.0,MA,EWB,New Bedford,New Bedford Regional,N,19686.0,21097.0,-0.0669
336.0,AK,CDV,Cordova,Merle K (Mudhole) Smith,N,19454.0,18275.0,0.0645
337.0,NM,SAF,Santa Fe,Santa Fe Municipal,N,19214.0,17830.0,0.0776
338.0,MN,BRD,Brainerd,Brainerd Lakes Regional,N,19092.0,17836.0,0.0704
340.0,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,N,18578.0,20338.0,-0.0865
341.0,CO,TEX,Telluride,Telluride Regional,N,18493.0,15386.0,0.2019
343.0,AK,PSG,Petersburg,Petersburg James A Johnson,N,18022.0,17501.0,0.0298
344.0,AK,VDZ,Valdez,Valdez Pioneer Field,N,17613.0,16599.0,0.0611
345.0,CA,CIC,Chico,Chico Municipal,N,17561.0,16237.0,0.0815
346.0,MA,BED,Bedford,Laurence G Hanscom Field,N,17049.0,19375.0,-0.1201
347.0,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,N,17018.0,12090.0,0.4076
349.0,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,N,16607.0,15775.0,0.0527
350.0,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,N,16495.0,14866.0,0.1096
352.0,IA,MCW,Mason City,Mason City Municipal,N,15893.0,14373.0,0.1058
353.0,SD,PIR,Pierre,Pierre Regional,N,15514.0,15811.0,-0.0188
354.0,MS,PIB,Moselle,Hattiesburg-Laurel Regional,N,15430.0,11477.0,0.3444
356.0,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,N,15014.0,5184.0,1.8962
357.0,AK,SCC,Deadhorse,Deadhorse,N,14507.0,14033.0,0.0338
359.0,WY,GCC,Gillette,Gillette-Campbell County,N,13544.0,12854.0,0.0537
360.0,KS,MHK,Manhattan,Manhattan Regional,N,13479.0,11395.0,0.1829
361.0,MI,CIU,Sault Ste. Marie,Chippewa County International,N,13461.0,13554.0,-0.0069
362.0,PA,LBE,Latrobe,Arnold Palmer Regional,N,13329.0,16965.0,-0.2143
363.0,IL,DEC,Decatur,Decatur,N,13245.0,14514.0,-0.0874
364.0,NJ,TTN,Trenton,Trenton Mercer,N,13095.0,23997.0,-0.4543
365.0,AK,LHD,Anchorage,Lake Hood,N,13040.0,23831.0,-0.4528
366.0,MI,CVX,Charlevoix,Charlevoix Municipal,N,12769.0,15465.0,-0.1743
367.0,CA,IYK,Inyokern,Inyokern,N,12725.0,11427.0,0.1136
368.0,AK,GAL,Galena,Edward G. Pitka Sr,N,12667.0,11133.0,0.1378
369.0,ME,RKD,Rockland,Knox County Regional,N,12563.0,11945.0,0.0517
370.0,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,N,12558.0,15709.0,-0.2006
371.0,CA,CEC,Crescent City,Jack McNamara Field,N,12472.0,11267.0,0.1069
372.0,AK,YAK,Yakutat,Yakutat,N,12400.0,11330.0,0.0944
373.0,WY,SHR,Sheridan,Sheridan County,N,12398.0,10664.0,0.1626
375.0,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,N,12189.0,9071.0,0.3437
376.0,WY,RIW,Riverton,Riverton Regional,N,12123.0,10234.0,0.1846
377.0,PR,VQS,Isla De Vieques,Antonio Rivera Rodriguez,N,11884.0,46164.0,-0.7426
378.0,AK,GST,Gustavus,Gustavus,N,11673.0,7105.0,0.6429
379.0,WV,MGW,Morgantown,Morgantown Municipal-Walter L. Bill Hart Field,N,11625.0,10187.0,0.1412
380.0,WV,LWB,Lewisburg,Greenbrier Valley,N,11549.0,11226.0,0.0288
381.0,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,N,11448.0,9387.0,0.2196
382.0,MS,GLH,Greenville,Mid Delta Regional,N,11433.0,9631.0,0.1871
383.0,MA,PVC,Provincetown,Provincetown Municipal,N,11424.0,11801.0,-0.0319
384.0,WA,CLM,Port Angeles,William R Fairchild International,N,11421.0,23172.0,-0.5071
385.0,NY,JHW,Jamestown,Chautauqua County/Jamestown,N,11276.0,8661.0,0.3019
386.0,NH,LEB,Lebanon,Lebanon Municipal,N,11134.0,5894.0,0.889
387.0,MT,SDY,Sidney,Sidney-Richland Municipal,N,11082.0,12245.0,-0.095
388.0,IL,MWA,Marion,Williamson County Regional,N,11053.0,11200.0,-0.0131
390.0,AK,HNH,Hoonah,Hoonah,N,10832.0,8715.0,0.2429
391.0,MO,JLN,Joplin,Joplin Regional,N,10784.0,15048.0,-0.2834
392.0,TX,VCT,Victoria,Victoria Regional,N,10763.0,11853.0,-0.092
393.0,GA,AHN,Athens,Athens/Ben Epps,N,10747.0,7550.0,0.4234
394.0,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,N,10647.0,9730.0,0.0942
395.0,MI,ESC,Escanaba,Delta County,N,10412.0,8359.0,0.2456
396.0,WY,LAR,Laramie,Laramie Regional,N,10225.0,8828.0,0.1582
397.0,AK,WRG,Wrangell,Wrangell,N,10106.0,9252.0,0.0923
398.0,NE,BFF,Scottsbluff,Western Nebraska Regional/William B. Heilig Field,N,10086.0,7677.0,0.3138
399.0,KS,FOE,Topeka,Forbes Field,N,10009.0,12779.0,-0.2168
,,,382.0,Primary Airports,,704793726.0,650116795.0,
