Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 11 Enplanements,CY 10 Enplanements,% Change
74,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1395554,1406750,-0.008
75,WP,GU,GUM,Tamuning,Guam International,P,S,1369586,1411024,-0.0294
76,SW,OK,TUL,Tulsa,Tulsa International,P,S,1346122,1382895,-0.0266
77,NE,NH,MHT,Manchester,Manchester,P,S,1342308,1391797,-0.0356
78,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,1295389,1276343,0.0149
79,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1247459,1013418,0.2309
80,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1247333,1248787,-0.0012
81,EA,NY,ALB,Albany,Albany International,P,S,1216626,1250282,-0.0269
82,WP,HI,LIH,Lihue,Lihue,P,S,1203525,1175203,0.0241
83,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1190967,1263965,-0.0578
84,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,1126552,1089002,0.0345
85,SW,AR,LIT,Little Rock,Adams Field,P,S,1063673,1097403,-0.0307
86,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,982709,1024505,-0.0408
87,EA,NY,HPN,White Plains,Westchester County,P,S,972385,999831,-0.0275
88,CE,IA,DSM,Des Moines,Des Moines International,P,S,932828,898840,0.0378
89,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,894290,855073,0.0459
90,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,880994,642512,0.3712
91,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,848230,782737,0.0837
92,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,841237,804917,0.0451
93,NE,ME,PWM,Portland,Portland International Jetport,P,S,833005,851566,-0.0218
94,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,828516,877367,-0.0557
95,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,814243,771107,0.0559
96,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,785251,798194,-0.0162
97,EA,NY,ISP,Islip,Long Island MacArthur,P,S,781396,858741,-0.0901
98,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,768938,553892,0.3882
99,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,759510,751068,0.0112
100,SO,FL,PNS,Pensacola,Pensacola Gulf Coast Regional,P,S,750190,729748,0.028
101,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,741365,766953,-0.0334
102,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,740675,751601,-0.0145
103,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,668930,669470,-0.0008
104,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,657157,670992,-0.0206
105,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,655294,664968,-0.0145
106,NE,VT,BTV,Burlington,Burlington International,P,S,636019,640790,-0.0074
107,SO,MS,JAN,Jackson,Jackson-Evers International,P,S,615622,618373,-0.0044
108,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,615320,569879,0.0797
109,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,614601,606127,0.014
110,WP,HI,ITO,Hilo,Hilo International,P,S,605251,611782,-0.0107
111,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,596832,606137,-0.0154
112,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,538850,549195,-0.0188
113,SO,KY,LEX,Lexington,Blue Grass,P,S,533952,539492,-0.0103
114,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,521437,417862,0.2479
115,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,S,516789,519906,-0.006
116,NM,WA,BLI,Bellingham,Bellingham International,P,S,515402,398368,0.2938
117,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,503580,508858,-0.0104
118,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,487474,486879,0.0012
119,SW,TX,MAF,Midland,Midland International,P,S,474423,445043,0.066
120,GL,MI,FNT,Flint,Bishop International,P,S,473113,497649,-0.0493
121,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,438188,435392,0.0064
122,SO,FL,VPS,Valparaiso,Eglin AFB,P,S,434455,348979,0.2449
123,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,431874,462670,-0.0666
124,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,428332,414427,0.0336
125,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,423288,355939,0.1892
126,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,417902,312114,0.3389
127,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,S,417223,384394,0.0854
128,GL,IL,MLI,Moline,Quad City International,P,S,412470,477086,-0.1354
129,NM,MT,BIL,Billings,Billings Logan International,P,S,407375,388329,0.049
130,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,397870,364521,0.0915
131,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,S,396403,382687,0.0358
132,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,395350,461072,-0.1425
133,SO,NC,ILM,Wilmington,Wilmington International,P,S,395156,408058,-0.0316
134,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,393504,369397,0.0653
135,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,392815,394593,-0.0045
136,NE,ME,BGR,Bangor,Bangor International,P,S,391597,416328,-0.0594
137,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,382386,433577,-0.1181
138,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,367328,382894,-0.0407
,,,74,Small Hubs,,, ,,,
139,SO,NC,AVL,Asheville,Asheville Regional,P,N,361617,371226,-0.0259
140,SW,TX,HRL,Harlingen,Valley International,P,N,359166,373438,-0.0382
141,AL,AK,JNU,Juneau,Juneau International,P,N,355499,344057,0.0333
142,GL,WI,GRB,Green Bay,Austin Straubel International,P,N,352157,349733,0.0069
143,CE,MO,SGF,Springfield,Springfield-Branson National,P,N,349091,381172,-0.0842
144,GL,ND,FAR,Fargo,Hector International,P,N,346459,365963,-0.0533
145,SO,FL,EYW,Key West,Key West International,P,N,335603,287359,0.1679
146,SW,TX,MFE,McAllen,McAllen Miller International,P,N,332706,344302,-0.0337
147,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,331924,318622,0.0417
148,NM,WA,PSC,Pasco,Tri-Cities,P,N,327008,312915,0.045
149,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,322903,339193,-0.048
150,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,320961,316478,0.0142
151,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,N,305686,325097,-0.0597
