Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub Size,CY 11 Enplanements,CY 10 Enplanements,% Change
30,NM,OR,PDX,Portland,Portland International,P,M,6808486,6582227,0.0344
134,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,393504,369397,0.0653
154,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,301742,310824,-0.0292
169,NM,OR,RDM,Redmond,Roberts Field,P,N,230395,226400,0.0176
337,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,22066,23124,-0.0458
366,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,15856,21353,-0.2574
481,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,4952,4898,0.011
563,NM,OR,BKE,Baker City,Baker City Municipal,GA,None,2503,4,624.75
635,NM,OR,AST,Astoria,Astoria Regional,GA,None,1383,3482,-0.6028
656,NM,OR,ONP,Newport,Newport Municipal,GA,None,1150,3027,-0.6201
787,NM,OR,SLE,Salem,McNary Field,GA,None,279,1,278
916,NM,OR,HIO,Portland,Portland-Hillsboro,GA,None,71,24,1.9583
963,NM,OR,CVO,Corvallis,Corvallis Municipal,GA,None,40,12,2.3333
966,NM,OR,RBG,Roseburg,Roseburg Regional,GA,None,40,5,7
1008,NM,OR,4S2,Hood River,Ken Jernstedt Airfield,GA,None,26,10,1.6
1017,NM,OR,BOK,Brookings,Brookings,GA,None,25,0,0
1065,NM,OR,UAO,Aurora,Aurora State,GA,None,19,5,2.8
1117,NM,OR,S05,Bandon,Bandon State,GA,None,14,14,0
1154,NM,OR,BDN,Bend,Bend Municipal,GA,None,11,93,-0.8817
1187,NM,OR,S21,Sunriver,Sunriver,GA,None,10,1,9
1225,NM,OR,S03,Ashland,Ashland Municipal-Sumner Parker Field,GA,None,8,0,0
1252,NM,OR,4S1,Gold Beach,Gold Beach Municipal,GA,None,6,0,0
1393,NM,OR,3S9,Condon,Condon State Pauling Field,GA,None,3,0,0
1440,NM,OR,TMK,Tillamook,Tillamook,GA,None,3,0,0
1449,NM,OR,3S8,Grants Pass,Grants Pass,GA,None,2,0,0
1467,NM,OR,DLS,Klickitat (County),Columbia Gorge Regional/The Dalles Municipal,GA,None,2,27,-0.9259
1494,NM,OR,MMV,McMinnville,McMinnville Municipal,GA,None,2,46,-0.9565
1498,NM,OR,ONO,Ontario,Ontario Municipal,GA,None,2,2,0
1532,NM,OR,64OG,Mitchell,Antone Ranch,GA,None,1,0,0
18,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,14883180,14951254,-0.0046
45,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,4070614,3996656,0.0185
105,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,655294,664968,-0.0145
124,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,428332,414427,0.0336
170,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,228367,213422,0.07
203,EA,PA,UNV,State College,University Park,P,N,144054,143531,0.0036
213,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,112749,127184,-0.1135
298,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,36971,6978,4.2982
325,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,24508,22519,0.0883
435,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,7956,8457,-0.0592
439,EA,PA,LNS,Lititz,Lancaster,CS,None,7575,6410,0.1817
459,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,5986,5728,0.045
498,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,4107,4378,-0.0619
547,EA,PA,BFD,Bradford,Bradford Regional,CS,None,2908,2962,-0.0182
578,EA,PA,RDG,Reading,Reading Regional/Carl A Spaatz Field,GA,None,2184,1703,0.2824
642,EA,PA,FKL,Franklin,Venango Regional,GA,None,1284,1380,-0.0696
753,EA,PA,AGC,West Mifflin,Allegheny County,GA,None,408,129,2.1628
768,EA,PA,PNE,Philadelphia,Northeast Philadelphia,GA,None,350,312,0.1218
856,EA,PA,AFJ,Washington,Washington County,GA,None,129,3,42
861,EA,PA,LOM,Ambler,Wings Field,GA,None,126,256,-0.5078
983,EA,PA,CKZ,Perkasie,Pennridge,GA,None,32,27,0.1852
1064,EA,PA,SEG,Selinsgrove,Penn Valley,GA,None,19,0,0
1073,EA,PA,IDI,Indiana,Indiana County/Jimmy Stewart Field/,GA,None,18,44,-0.5909
1130,EA,PA,RVL,Reedsville,Mifflin County,GA,None,13,2,5.5
1245,EA,PA,THV,York,York,GA,None,7,8,-0.125
1249,EA,PA,18PN,Upper Strasburg,Spud View,GA,None,6,0,0
1296,EA,PA,BTP,Butler,Butler County/K W Scholter Field,GA,None,5,6,-0.1667
1332,EA,PA,W05,Gettysburg,Gettysburg Regional,GA,None,5,4,0.25
1371,EA,PA,N94,Carlisle,Carlisle,GA,None,4,0,0
1362,EA,PA,LHV,Lock Haven,William T. Piper Memorial,GA,None,4,0,0
1354,EA,PA,CXY,New Cumberland,Capital City,GA,None,4,11,-0.6364
1375,EA,PA,OYM,St. Marys,St Marys Municipal,GA,None,4,0,0
1374,EA,PA,OQN,West Chester,Brandywine,GA,None,4,0,0
1426,EA,PA,N68,Chambersburg,Franklin County Regional,GA,None,3,0,0
1422,EA,PA,MQS,Coatesville,Chester County G O Carlson,GA,None,3,51,-0.9412
1425,EA,PA,N30,Honesdale,Cherry Ridge,GA,None,3,0,0
1505,EA,PA,PTW,Pottstown,Heritage Field,GA,None,2,3,-0.3333
1583,EA,PA,PJC,Beaver Falls,Zelienople Municipal,GA,None,1,12,-0.9167
1528,EA,PA,4PN7,Eagles Mere,Merritt Field,GA,None,1,2,-0.5
47,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,3983130,4243475,-0.0614
168,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,230556,241976,-0.0472
228,SO,PR,PSE,Ponce,Mercedita,P,N,95658,97660,-0.0205
263,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,55647,46267,0.2027
315,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,28165,11308,1.4907
343,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,20353,38363,-0.4695
425,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,CS,None,8979,1603,4.6014
480,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,4961,4466,0.1108
63,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,1920699,1951566,-0.0158
412,NE,RI,BID,Block Island,Block Island State,P,N,10164,9821,0.0349
418,NE,RI,WST,Westerly,Westerly State,CS,None,9203,11402,-0.1929
858,NE,RI,OQU,North Kingstown,Quonset State,GA,None,127,65,0.9538
914,NE,RI,UUU,Newport,Newport State,GA,None,72,93,-0.2258
1167,NE,RI,SFZ,Pawtucket,North Central State,GA,None,11,15,-0.2667
79,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1247459,1013418,0.2309
90,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,880994,642512,0.3712
91,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,848230,782737,0.0837
118,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,487474,486879,0.0012
248,SO,SC,FLO,Florence,Florence Regional,P,N,68169,82961,-0.1783
256,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,61006,73776,-0.1731
609,SO,SC,SSC,Sumter,Shaw AFB,GA,None,1767,1722,0.0261
715,SO,SC,NBC,Beaufort,Beaufort MCAS /Merritt Field/,GA,None,635,700,-0.0929
744,SO,SC,AND,Anderson,Anderson Regional,GA,None,483,293,0.6485
826,SO,SC,ARW,Beaufort,Beaufort County,GA,None,162,727,-0.7772
936,SO,SC,AIK,Aiken,Aiken Municipal,GA,None,56,262,-0.7863
1074,SO,SC,JZI,Charleston,Charleston Executive,GA,None,18,73,-0.7534
1178,SO,SC,GMU,Greenville,Greenville Downtown,GA,None,10,23,-0.5652
1300,SO,SC,CRE,North Myrtle Beach,Grand Strand,GA,None,5,36,-0.8611
1379,SO,SC,SPA,Spartanburg,Spartanburg Downtown Memorial,GA,None,4,7,-0.4286
1565,SO,SC,GYH,Greenville,Donaldson Center,GA,None,1,2,-0.5
1587,SO,SC,RBW,Walterboro,Lowcountry Regional,GA,None,1,11,-0.9091
125,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,423288,355939,0.1892
165,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,254292,284126,-0.105
326,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,24503,20089,0.2197
370,GL,SD,PIR,Pierre,Pierre Regional,P,N,14802,14686,0.0079
424,GL,SD,ATY,Watertown,Watertown Regional,CS,None,8984,7814,0.1497
613,GL,SD,HON,Huron,Huron Regional,GA,None,1681,2016,-0.1662
685,GL,SD,RCA,Rapid City,Ellsworth AFB,GA,None,904,389,1.3239
978,GL,SD,MHE,Mitchell,Mitchell Municipal,GA,None,34,15,1.2667
1038,GL,SD,BKX,Brookings,Brookings Regional,GA,None,22,12,0.8333
1132,GL,SD,SPF,Spearfish,Black Hills-Clyde Ice Field,GA,None,13,6,1.1667
1255,GL,SD,9V9,Chamberlain,Chamberlain Municipal,GA,None,6,0,0
1387,GL,SD,YKN,Yankton,Chan Gurney Municipal,GA,None,4,0,0
1491,GL,SD,MDS,Madison,Madison Municipal,GA,None,2,14,-0.8571
1536,GL,SD,7G9,Canton,Canton Municipal,GA,None,1,0,0
1534,GL,SD,6V4,Wall,Wall Municipal,GA,None,1,0,0
34,SO,TN,BNA,Nashville,Nashville International,P,M,4673047,4432527,0.0543
41,SO,TN,MEM,Memphis,Memphis International,P,M,4344213,4930935,-0.119
92,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,841237,804917,0.0451
153,SO,TN,CHA,Chattanooga,Lovell Field,P,N,304399,292830,0.0395
173,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,220586,202114,0.0914
622,SO,TN,MQY,Smyrna,Smyrna,GA,None,1557,1187,0.3117
661,SO,TN,CKV,Clarksville,Outlaw Field,GA,None,1088,9,119.8889
743,SO,TN,MKL,Jackson,McKellar-Sipes Regional,GA,None,484,2545,-0.8098
1125,SO,TN,HDI,Cleveland,Hardwick Field,GA,None,13,0,0
1163,SO,TN,RNC,McMinnville,Warren County Memorial,GA,None,11,5,1.2
1166,SO,TN,SCX,Oneida,Scott Municipal,GA,None,11,0,0
1266,SO,TN,DYR,Dyersburg,Dyersburg Regional,GA,None,6,2,2
1320,SO,TN,MBT,Murfreesboro,Murfreesboro Municipal,GA,None,5,3,0.6667
1474,SO,TN,FYE,Somerville,Fayette County,GA,None,2,0,0
1573,SO,TN,JWN,Nashville,John C Tune,GA,None,1,23,-0.9565
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,27518358,27100656,0.0154
10,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19306660,19528631,-0.0114
33,SW,TX,HOU,Houston,William P Hobby,P,M,4753554,4357835,0.0908
38,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,4436661,4201136,0.0561
46,SW,TX,SAT,San Antonio,San Antonio International,P,M,3992304,3916320,0.0194
48,SW,TX,DAL,Dallas,Dallas Love Field,P,M,3852886,3783407,0.0184
72,SW,TX,ELP,El Paso,El Paso International,P,S,1458965,1509093,-0.0332
117,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,503580,508858,-0.0104
119,SW,TX,MAF,Midland,Midland International,P,S,474423,445043,0.066
135,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,392815,394593,-0.0045
140,SW,TX,HRL,Harlingen,Valley International,P,N,359166,373438,-0.0382
146,SW,TX,MFE,McAllen,McAllen Miller International,P,N,332706,344302,-0.0337
149,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,322903,339193,-0.048
174,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,219753,243861,-0.0989
224,SW,TX,LRD,Laredo,Laredo International,P,N,101780,112520,-0.0954
231,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,85244,84401,0.01
238,SW,TX,ABI,Abilene,Abilene Regional,P,N,80434,73605,0.0928
242,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,72602,74357,-0.0236
245,SW,TX,CLL,College Station,Easterwood Field,P,N,71555,72188,-0.0088
255,SW,TX,ACT,Waco,Waco Regional,P,N,61164,61401,-0.0039
265,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,54955,56021,-0.019
296,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,37248,44296,-0.1591
312,SW,TX,BIF,Fort Bliss/El Paso/,Biggs AAF (Fort Bliss),GA,None,29923,14932,1.004
340,SW,TX,GGG,Longview,East Texas Regional,P,N,21112,21830,-0.0329
374,SW,TX,BPT,Beaumont/Port Arthur,Jack Brooks Regional,P,N,13670,17394,-0.2141
417,SW,TX,SKF,San Antonio,Lackland AFB (Kelly Field Annex),GA,None,9281,8880,0.0452
431,SW,TX,DRT,Del Rio,Del Rio International,CS,None,8438,13180,-0.3598
475,SW,TX,VCT,Victoria,Victoria Regional,CS,None,5200,5038,0.0322
580,SW,TX,FTW,Fort Worth,Fort Worth Meacham International,GA,None,2177,809,1.691
640,SW,TX,AFW,Fort Worth,Fort Worth Alliance,GA,None,1309,1518,-0.1377
665,SW,TX,EFD,Houston,Ellington Field,GA,None,1032,1206,-0.1443
711,SW,TX,DYS,Abilene,Dyess AFB,GA,None,642,978,-0.3436
740,SW,TX,NFW,Fort Worth,Fort Worth NAS Jrb/Carswell Field,GA,None,517,829,-0.3764
741,SW,TX,07TA,Danbury,Salaika Aviation,GA,None,500,250,1
885,SW,TX,34R,Hallettsville,Hallettsville Municipal,GA,None,100,0,0
955,SW,TX,HHF,Canadian,Hemphill County,GA,None,45,0,0
954,SW,TX,ADS,Dallas,Addison,GA,None,45,185,-0.7568
958,SW,TX,SGR,Houston,Sugar Land Regional,GA,None,43,189,-0.7725
964,SW,TX,E41,Big Lake,Reagan County,GA,None,40,30,0.3333
970,SW,TX,PYX,Perryton,Perryton Ochiltree County,GA,None,38,0,0
995,SW,TX,LBX,Angleton,Texas Gulf Coast Regional,GA,None,30,4519,-0.9934
992,SW,TX,FST,Fort Stockton,Fort Stockton-Pecos County,GA,None,30,30,0
1018,SW,TX,GKY,Arlington,Arlington Municipal,GA,None,25,24,0.0417
1024,SW,TX,2F0,Iraan,Iraan Municipal,GA,None,24,20,0.2
1040,SW,TX,TKI,McKinney,Collin County Regional at McKinney,GA,None,22,572,-0.9615
1048,SW,TX,E11,Andrews,Andrews County,GA,None,20,20,0
1047,SW,TX,AXH,Houston,Houston-Southwest,GA,None,20,6,2.3333
1053,SW,TX,OZA,Ozona,Ozona Municipal,GA,None,20,20,0
1045,SW,TX,49F,Rankin,Rankin,GA,None,20,10,1
1139,SW,TX,COT,Cotulla,Cotulla-La Salle County,GA,None,12,56,-0.7857
1147,SW,TX,T57,Garland,Garland/DFW Heloplex,GA,None,12,0,0
1175,SW,TX,BYY,Bay City,Bay City Municipal,GA,None,10,0,0
1213,SW,TX,E13,Crane,Crane County,GA,None,8,0,0
1258,SW,TX,ATA,Atlanta,Hall-Miller Municipal,GA,None,6,12,-0.5
1286,SW,TX,VHN,Van Horn,Culberson County,GA,None,6,10,-0.4
1295,SW,TX,BPG,Big Spring,Big Spring McMahon-Wrinkle,GA,None,5,1,4
1380,SW,TX,T41,La Porte,La Porte Municipal,GA,None,4,0,0
1450,SW,TX,3T8,China Spring,Wildcat Canyon,GA,None,2,0,0
1468,SW,TX,DTO,Denton,Denton Municipal,GA,None,2,29,-0.931
1479,SW,TX,HYI,San Marcos,San Marcos Municipal,GA,None,2,8,-0.75
1550,SW,TX,CXO,Conroe,Lone Star Executive,GA,None,1,9,-0.8889
1572,SW,TX,IWS,Houston,West Houston,GA,None,1,1,0
1581,SW,TX,MWL,Mineral Wells,Mineral Wells,GA,None,1,43,-0.9767
762,WP,UM,MDY,Sand Island,Henderson Field,GA,None,367,137,1.6788
24,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,9701756,9910493,-0.0211
260,NM,UT,ENV,Wendover,Wendover,GA,None,58457,50734,0.1522
271,NM,UT,SGU,St. George,St George Municipal,P,N,48582,37596,0.2922
369,NM,UT,PVU,Provo,Provo Municipal,P,N,14858,1124,12.2189
419,NM,UT,CNY,Moab,Canyonlands Field,CS,None,9181,2701,2.3991
427,NM,UT,CDC,Cedar City,Cedar City Regional,CS,None,8690,5997,0.4491
464,NM,UT,VEL,Vernal,Vernal Regional,CS,None,5645,4461,0.2654
663,NM,UT,LGU,Logan,Logan-Cache,GA,None,1075,1176,-0.0859
681,NM,UT,HIF,Ogden,Hill AFB,GA,None,937,1696,-0.4475
689,NM,UT,UT25,Monument Valley,Monument Valley,GA,None,859,1707,-0.4968
866,NM,UT,OGD,Ogden,Ogden-Hinckley,GA,None,121,101,0.198
924,NM,UT,DPG,Dugway Proving Ground,Michael AAF (Dugway Proving Ground),GA,None,64,141,-0.5461
1006,NM,UT,BCE,Bryce Canyon,Bryce Canyon,GA,None,27,23,0.1739
1016,NM,UT,74V,Roosevelt,Roosevelt Municipal,GA,None,25,37,-0.3243
1077,NM,UT,U55,Panguitch,Panguitch Municipal,GA,None,18,42,-0.5714
1120,NM,UT,U52,Beaver,Beaver Municipal,GA,None,14,18,-0.2222
1127,NM,UT,KNB,Kanab,Kanab Municipal,GA,None,13,9,0.4444
1128,NM,UT,PUC,Price,Carbon County Regional/Buck Davis Field,GA,None,13,14,-0.0714
1129,NM,UT,RIF,Richfield,Richfield Municipal,GA,None,13,20,-0.35
1260,NM,UT,BDG,Blanding,Blanding Municipal,GA,None,6,1,5
1330,NM,UT,U64,Monticello,Monticello,GA,None,5,0,0
1366,NM,UT,MLF,Milford,Milford Municipal/Ben and Judy Briscoe Field,GA,None,4,0,0
1559,NM,UT,FOM,Fillmore,Fillmore Municipal,GA,None,1,25,-0.96
1597,NM,UT,U07,Glen Canyon Natl Rec Area,Bullfrog Basin,GA,None,1,0,0
23,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11044383,11276481,-0.0206
26,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,9053004,8736804,0.0362
68,EA,VA,ORF,Norfolk,Norfolk International,P,S,1606695,1663294,-0.034
69,EA,VA,RIC,Highland Springs,Richmond International,P,S,1571155,1651131,-0.0484
115,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,S,516789,519906,-0.006
150,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,320961,316478,0.0142
176,EA,VA,CHO,Charlottesville-Albemarle Airport,Charlottesville-Albemarle,P,N,216957,197776,0.097
241,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,73821,93772,-0.2128
292,EA,VA,NGU,Norfolk,Norfolk NS (Chambers Field),GA,None,38143,36093,0.0568
384,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,12033,10408,0.1561
585,EA,VA,LFI,Hampton,Langley AFB,GA,None,2111,2039,0.0353
694,EA,VA,HEF,Manassas,Manassas Regional/Harry P. Davis Field,GA,None,793,98,7.0918
844,EA,VA,NTU,Virginia Beach,Oceana NAS /Apollo Soucek Field/,GA,None,143,0,0
968,EA,VA,JYO,Leesburg,Leesburg Executive,GA,None,38,46,-0.1739
989,EA,VA,RMN,Stafford,Stafford Regional,GA,None,31,15,1.0667
1007,EA,VA,OKV,Winchester,Winchester Regional,GA,None,27,6,3.5
1071,EA,VA,FCI,Chesterfield,Chesterfield County,GA,None,18,41,-0.561
1159,EA,VA,LKU,Louisa,Louisa County/Freeman Field,GA,None,11,0,0
1235,EA,VA,FVX,Farmville,Farmville Regional,GA,None,7,0,0
1263,EA,VA,DAN,Danville,Danville Regional,GA,None,6,11,-0.4545
1386,EA,VA,XSA,Tappahannock,Tappahannock-Essex County,GA,None,4,0,0
1398,EA,VA,BCB,Blacksburg,Virginia Tech/Montgomery Executive,GA,None,3,10,-0.7
1402,EA,VA,CJR,Culpeper,Culpeper Regional,GA,None,3,1,2
1436,EA,VA,SFQ,Suffolk,Suffolk Executive,GA,None,3,0,0
1517,EA,VA,VJI,Abingdon,Virginia Highlands,GA,None,2,307,-0.9935
1549,EA,VA,CPK,Chesapeake,Chesapeake Regional,GA,None,1,5,-0.8
1585,EA,VA,PSK,Dublin,New River Valley,GA,None,1,3,-0.6667
1568,EA,VA,HWY,Warrenton,Warrenton-Fauquier,GA,None,1,0,0
111,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,596832,606137,-0.0154
185,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,184331,187211,-0.0154
276,SO,VI,VI32,Christiansted St Croix,Christiansted Harbor-SSB,GA,None,45178,48096,-0.0607
278,SO,VI,VI22,Charlotte Amalie,Charlotte Amalie Harbor,GA,None,44452,47424,-0.0627
106,NE,VT,BTV,Burlington,Burlington International,P,S,636019,640790,-0.0074
458,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,5997,5530,0.0844
1080,NE,VT,DDH,Bennington,William H. Morse State,GA,None,17,6,1.8333
1090,NE,VT,EFK,Newport,Newport State,GA,None,16,0,0
1101,NE,VT,MVL,Morrisville,Morrisville-Stowe State,GA,None,15,10,0.5
1143,NE,VT,MPV,Barre,Edward F Knapp State,GA,None,12,9,0.3333
1247,NE,VT,VSF,Springfield,Hartness State (Springfield),GA,None,7,34,-0.7941
1292,NE,VT,6B0,Middlebury,Middlebury State,GA,None,5,13,-0.6154
15,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,15971676,15406243,0.0367
71,NM,WA,GEG,Spokane,Spokane International,P,S,1487913,1545115,-0.037
116,NM,WA,BLI,Bellingham,Bellingham International,P,S,515402,398368,0.2938
148,NM,WA,PSC,Pasco,Tri-Cities,P,N,327008,312915,0.045
262,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,55902,53832,0.0385
268,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,50927,46837,0.0873
289,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,39134,35248,0.1102
305,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,34434,33656,0.0231
308,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,32139,29064,0.1058
331,NM,WA,WN22,Seattle,Lake Union,GA,None,23350,25428,-0.0817
339,NM,WA,TCM,Tacoma,McChord Field (Joint Base Lewis-McChord),GA,None,21553,12902,0.6705
394,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,11283,12381,-0.0887
433,NM,WA,CLM,Port Angeles,William R Fairchild International,CS,None,8242,10616,-0.2236
479,NM,WA,S60,Kenmore,Kenmore Air Harbor Inc,GA,None,5062,5336,-0.0513
522,NM,WA,ORS,Eastsound,Orcas Island,CS,None,3410,3982,-0.1436
556,NM,WA,W39,Roche Harbor,Roche Harbor,GA,None,2666,2727,-0.0224
621,NM,WA,WA83,West Sound,Westsound/Wsx,GA,None,1566,1827,-0.1429
651,NM,WA,6S9,Stehekin,Stehekin State,GA,None,1194,0,0
655,NM,WA,WA13,Chelan,Seaplane Landing Area,GA,None,1168,0,0
693,NM,WA,NUW,Oak Harbor,Whidbey Island NAS /Ault Field/,GA,None,806,707,0.14
699,NM,WA,W49,Rosario,Rosario,GA,None,757,762,-0.0066
701,NM,WA,S31,Lopez,Lopez Island,GA,None,750,891,-0.1582
750,NM,WA,74S,Anacortes,Anacortes,GA,None,419,765,-0.4523
765,NM,WA,PAE,Everett,Snohomish County (Paine Field),GA,None,359,514,-0.3016
767,NM,WA,MWH,Moses Lake,Grant County International,GA,None,356,1442,-0.7531
774,NM,WA,PWT,Bremerton,Bremerton National,GA,None,330,192,0.7188
812,NM,WA,TIW,Tacoma,Tacoma Narrows,GA,None,185,147,0.2585
862,NM,WA,11S,Sekiu,Sekiu,GA,None,125,39,2.2051
972,NM,WA,W28,Sequim,Sequim Valley,GA,None,36,79,-0.5443
976,NM,WA,0S9,Port Townsend,Jefferson County International,GA,None,34,33,0.0303
990,NM,WA,BVS,Burlington,Skagit Regional,GA,None,30,39,-0.2308
1029,NM,WA,RNT,Renton,Renton Municipal,GA,None,24,55,-0.5636
1032,NM,WA,VUO,Vancouver,Pearson Field,GA,None,24,0,0
1036,NM,WA,83WA,Walla Walla,Darcy's Air Strip,GA,None,22,0,0
1052,NM,WA,OLM,Olympia,Olympia Regional,GA,None,20,55,-0.6364
1076,NM,WA,S10,Chelan,Lake Chelan,GA,None,18,11,0.6364
1091,NM,WA,OKH,Oak Harbor,Aj Eisenberg,GA,None,16,11,0.4545
1118,NM,WA,S23,Ione,Ione Municipal,GA,None,14,16,-0.125
1126,NM,WA,HQM,Hoquiam,Bowerman,GA,None,13,28,-0.5357
1131,NM,WA,SHN,Shelton,Sanderson Field,GA,None,13,0,0
1164,NM,WA,S50,Auburn,Auburn Municipal,GA,None,11,9,0.2222
1157,NM,WA,ELN,Ellensburg,Bowers Field,GA,None,11,18,-0.3889
1188,NM,WA,S52,Winthrop,Methow Valley State,GA,None,10,3,2.3333
1206,NM,WA,63S,Colville,Colville Municipal,GA,None,8,8,0
1253,NM,WA,68S,Davenport,Davenport,GA,None,6,14,-0.5714
1283,NM,WA,SFF,Spokane,Felts Field,GA,None,6,20,-0.7
1333,NM,WA,WA09,Roche Harbor,Roche Harbor,GA,None,5,11,-0.5455
1293,NM,WA,8W5,Silverdale,Apex Airpark,GA,None,5,0,0
1346,NM,WA,AWO,Arlington,Arlington Municipal,GA,None,4,3,0.3333
1351,NM,WA,CLS,Chehalis,Chehalis-Centralia,GA,None,4,0,0
1336,NM,WA,14S,Westport,Westport,GA,None,4,0,0
1417,NM,WA,KLS,Kelso,Southwest Washington Regional,GA,None,3,0,0
1433,NM,WA,PLU,Puyallup,Pierce County - Thun Field,GA,None,3,11,-0.7273
1396,NM,WA,80T,Quincy,Quincy Municipal,GA,None,3,0,0
1509,NM,WA,S18,Forks,Forks,GA,None,2,0,0
1497,NM,WA,OMK,Omak,Omak,GA,None,2,23,-0.913
1453,NM,WA,4WA9,Port Orchard,Port Orchard,GA,None,2,0,0
1526,NM,WA,38WA,Blakely Island,Blakely Island,GA,None,1,0,0
1588,NM,WA,S43,Snohomish,Harvey Field,GA,None,1,0,0
1537,NM,WA,9W2,Walla Walla,Page,GA,None,1,0,0
35,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,4671976,4760170,-0.0185
101,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,741365,766953,-0.0334
142,GL,WI,GRB,Green Bay,Austin Straubel International,P,N,352157,349733,0.0069
167,GL,WI,ATW,Appleton,Outagamie County Regional,P,N,242346,272471,-0.1106
206,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,135965,156251,-0.1298
219,GL,WI,LSE,La Crosse,La Crosse Municipal,P,N,102958,109962,-0.0637
319,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,26764,25137,0.0647
345,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,19097,18369,0.0396
460,GL,WI,VOK,Camp Douglas,Volk Field,GA,None,5978,10888,-0.451
780,GL,WI,UES,Waukesha,Waukesha County,GA,None,312,166,0.8795
813,GL,WI,C29,Middleton,Middleton Municipal - Morey Field,GA,None,184,269,-0.316
838,GL,WI,OSH,Oshkosh,Wittman Regional,GA,None,151,173,-0.1272
851,GL,WI,ENW,Kenosha,Kenosha Regional,GA,None,131,27,3.8519
855,GL,WI,STE,Stevens Point,Stevens Point Municipal,GA,None,130,5,25
